season_id,player_id,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,video_available,pts_per_min
22023,2544,22301195,2024-04-14,LAL @ NOP,W,38,11,20,0.55,0,2,0.0,6,6,1.0,2,9,11,17,5,1,4,0,28,19,1,0.7368421052631579
22023,2544,22301177,2024-04-12,LAL @ MEM,W,41,13,20,0.65,3,7,0.429,8,11,0.727,2,7,9,5,2,0,8,1,37,-3,1,0.9024390243902439
22023,2544,22301155,2024-04-09,LAL vs. GSW,L,36,14,22,0.636,1,3,0.333,4,5,0.8,1,6,7,11,2,0,4,0,33,-6,1,0.9166666666666666
22023,2544,22301127,2024-04-06,LAL vs. CLE,W,36,10,18,0.556,1,5,0.2,3,5,0.6,0,5,5,12,1,1,5,1,24,10,1,0.6666666666666666
22023,2544,22301103,2024-04-03,LAL @ WAS,W,36,9,18,0.5,0,1,0.0,7,9,0.778,2,5,7,9,3,0,4,2,25,9,1,0.6944444444444444
22023,2544,22301094,2024-04-02,LAL @ TOR,W,29,10,12,0.833,1,1,1.0,2,5,0.4,0,4,4,9,0,0,1,0,23,13,1,0.7931034482758621
22023,2544,22301078,2024-03-31,LAL @ BKN,W,37,13,17,0.765,9,10,0.9,5,6,0.833,1,6,7,5,0,0,4,0,40,22,1,1.0810810810810811
22023,2544,22301063,2024-03-29,LAL @ IND,L,35,6,12,0.5,0,3,0.0,4,4,1.0,1,9,10,8,0,0,5,1,16,-13,1,0.45714285714285713
22023,2544,22301055,2024-03-27,LAL @ MEM,W,35,8,14,0.571,0,1,0.0,7,11,0.636,0,14,14,12,1,0,4,1,23,33,1,0.6571428571428571
22023,2544,22301032,2024-03-24,LAL vs. IND,W,38,8,19,0.421,2,4,0.5,8,8,1.0,1,4,5,10,1,1,3,1,26,12,1,0.6842105263157895
22023,2544,22301018,2024-03-22,LAL vs. PHI,W,38,7,15,0.467,1,3,0.333,5,7,0.714,0,8,8,6,0,1,8,1,20,7,1,0.5263157894736842
22023,2544,22300990,2024-03-18,LAL vs. ATL,W,29,10,14,0.714,2,5,0.4,3,3,1.0,0,7,7,10,0,0,2,0,25,20,1,0.8620689655172413
22023,2544,22300973,2024-03-16,LAL vs. GSW,L,38,15,23,0.652,3,5,0.6,7,8,0.875,3,5,8,9,1,1,4,1,40,-6,1,1.0526315789473684
22023,2544,22300954,2024-03-13,LAL @ SAC,L,40,6,16,0.375,2,8,0.25,4,6,0.667,1,12,13,9,2,0,5,3,18,-10,1,0.45
22023,2544,22300932,2024-03-10,LAL vs. MIN,W,38,10,16,0.625,2,4,0.5,7,9,0.778,0,8,8,9,0,0,4,1,29,14,1,0.7631578947368421
22023,2544,22300901,2024-03-06,LAL vs. SAC,L,36,10,16,0.625,1,4,0.25,10,10,1.0,0,5,5,13,1,0,3,0,31,-3,1,0.8611111111111112
